,Team,goalsFor,goalsAgainst,xGFor,xGAgainst,shotsFor,shotsAgainst,cornersFor,cornersAgainst,pkFor,pkAgainst,pkShotsFor,pkShotsAgainst,possessionPct,isHome,Result,PointsGained
0,PRO,1.8235294117647058,1.2352941176470589,0.978235294117647,1.6523529411764704,10.588235294117647,16.0,4.117647058823529,5.529411764705882,0.058823529411764705,0.17647058823529413,0.17647058823529413,0.4117647058823529,0.4694117647058823,0.0,0.23529411764705882,1.8235294117647058
1,MAN,0.9411764705882353,1.588235294117647,0.8805882352941176,1.3894117647058821,10.588235294117647,15.705882352941176,3.5294117647058822,4.235294117647059,0.0,0.0,0.11764705882352941,0.29411764705882354,0.4747058823529412,0.0,-0.29411764705882354,0.8235294117647058
2,REN,1.6470588235294117,1.3529411764705883,1.1229411764705883,1.6229411764705883,11.941176470588236,15.529411764705882,4.176470588235294,5.823529411764706,0.0,0.0,0.058823529411764705,0.17647058823529413,0.5041176470588236,0.0,0.0,1.411764705882353
3,OAK,1.3529411764705883,0.9411764705882353,0.9447058823529411,1.2194117647058822,11.411764705882353,13.823529411764707,4.0,4.9411764705882355,0.0,0.0,0.058823529411764705,0.29411764705882354,0.4370588235294117,0.0,0.23529411764705882,1.7058823529411764
4,ANC,2.1176470588235294,1.588235294117647,1.0141176470588233,1.5229411764705885,12.0,12.764705882352942,3.8823529411764706,5.529411764705882,0.0,0.11764705882352941,0.058823529411764705,0.23529411764705882,0.48588235294117643,0.0,0.23529411764705882,1.7647058823529411
5,DES,1.6470588235294117,1.1764705882352942,1.0564705882352943,1.4058823529411764,11.352941176470589,15.352941176470589,4.117647058823529,5.764705882352941,0.058823529411764705,0.0,0.17647058823529413,0.23529411764705882,0.511764705882353,0.0,0.23529411764705882,1.7058823529411764
6,SAS,1.8823529411764706,1.8235294117647058,1.1223529411764708,1.546470588235294,12.529411764705882,15.764705882352942,3.9411764705882355,4.882352941176471,0.058823529411764705,0.0,0.23529411764705882,0.29411764705882354,0.48176470588235304,0.0,-0.058823529411764705,1.2941176470588236
7,TUC,1.1764705882352942,2.176470588235294,0.7476470588235293,1.734705882352941,10.411764705882353,15.117647058823529,5.117647058823529,5.647058823529412,0.11764705882352941,0.0,0.11764705882352941,0.23529411764705882,0.4776470588235295,0.0,-0.47058823529411764,0.7058823529411765
8,DOV,1.7058823529411764,2.176470588235294,1.1105882352941177,1.3352941176470585,13.470588235294118,12.882352941176471,4.117647058823529,5.647058823529412,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.23529411764705882,0.42470588235294116,0.0,0.058823529411764705,1.4705882352941178
9,JAC,1.5294117647058822,0.8823529411764706,1.0688235294117645,1.2994117647058823,12.0,14.705882352941176,4.352941176470588,5.176470588235294,0.0,0.058823529411764705,0.0,0.17647058823529413,0.53,0.0,0.4117647058823529,1.9411764705882353
10,SJU,0.8235294117647058,2.0588235294117645,0.6776470588235294,1.798235294117647,10.411764705882353,13.470588235294118,4.529411764705882,6.176470588235294,0.0,0.058823529411764705,0.11764705882352941,0.4117647058823529,0.4505882352941176,0.0,-0.5294117647058824,0.5882352941176471
11,LAR,1.8235294117647058,1.8235294117647058,0.9794117647058823,1.302941176470588,9.058823529411764,14.411764705882353,4.9411764705882355,4.705882352941177,0.0,0.0,0.058823529411764705,0.17647058823529413,0.49529411764705883,0.0,0.35294117647058826,1.9411764705882353
12,SFS,1.8235294117647058,1.6470588235294117,1.0788235294117645,1.5076470588235293,10.764705882352942,14.882352941176471,3.411764705882353,5.882352941176471,0.0,0.058823529411764705,0.23529411764705882,0.11764705882352941,0.5658823529411764,0.0,0.17647058823529413,1.6470588235294117
13,ALB,1.7647058823529411,2.1176470588235294,1.2835294117647058,1.57,12.882352941176471,15.705882352941176,4.352941176470588,4.117647058823529,0.0,0.0,0.0,0.4117647058823529,0.45647058823529413,0.0,-0.11764705882352941,1.1764705882352942
14,BOI,1.8235294117647058,1.8823529411764706,1.125294117647059,1.5735294117647056,12.0,15.352941176470589,3.4705882352941178,7.117647058823529,0.0,0.0,0.17647058823529413,0.23529411764705882,0.4511764705882353,0.0,-0.058823529411764705,1.2352941176470589
15,WIC,1.2941176470588236,1.9411764705882353,0.9682352941176469,2.106470588235294,11.117647058823529,15.705882352941176,4.647058823529412,6.117647058823529,0.0,0.11764705882352941,0.058823529411764705,0.23529411764705882,0.5529411764705883,0.0,-0.23529411764705882,1.0588235294117647
16,FOR,1.411764705882353,1.8235294117647058,1.07,2.0311764705882354,9.529411764705882,17.058823529411764,4.588235294117647,5.0,0.0,0.058823529411764705,0.0,0.35294117647058826,0.5182352941176471,0.0,-0.29411764705882354,0.9411764705882353
17,EUG,1.4705882352941178,1.6470588235294117,0.8723529411764704,1.7741176470588236,10.0,15.352941176470589,4.294117647058823,5.647058823529412,0.0,0.17647058823529413,0.058823529411764705,0.47058823529411764,0.4252941176470588,0.0,-0.17647058823529413,1.1176470588235294
18,LRO,2.0,1.1764705882352942,1.2217647058823529,1.5258823529411765,11.117647058823529,15.764705882352942,4.529411764705882,4.9411764705882355,0.0,0.0,0.11764705882352941,0.23529411764705882,0.5552941176470589,0.0,0.23529411764705882,1.7647058823529411
19,LEX,1.3529411764705883,1.4705882352941178,1.075294117647059,1.9811764705882353,11.352941176470589,17.823529411764707,4.294117647058823,5.294117647058823,0.0,0.0,0.058823529411764705,0.17647058823529413,0.4335294117647059,0.0,-0.058823529411764705,1.2941176470588236
20,FAR,1.9411764705882353,1.2941176470588236,1.147058823529412,1.3111764705882352,11.470588235294118,14.235294117647058,3.588235294117647,5.176470588235294,0.058823529411764705,0.0,0.11764705882352941,0.5294117647058824,0.48588235294117643,0.0,0.23529411764705882,1.8235294117647058
21,AUG,1.5294117647058822,1.3529411764705883,1.084705882352941,1.5523529411764707,11.705882352941176,12.117647058823529,4.470588235294118,4.764705882352941,0.058823529411764705,0.0,0.29411764705882354,0.058823529411764705,0.5305882352941176,0.0,0.23529411764705882,1.7058823529411764
22,TOL,1.2941176470588236,1.588235294117647,0.973529411764706,1.618235294117647,10.705882352941176,15.235294117647058,4.764705882352941,5.470588235294118,0.0,0.0,0.11764705882352941,0.11764705882352941,0.4611764705882353,0.0,-0.11764705882352941,1.2941176470588236
23,SPR,1.4705882352941178,2.0588235294117645,0.8688235294117646,1.7558823529411764,11.235294117647058,14.470588235294118,3.823529411764706,5.352941176470588,0.0,0.11764705882352941,0.058823529411764705,0.4117647058823529,0.4011764705882353,0.0,-0.11764705882352941,1.1764705882352942
24,MOB,1.2352941176470589,1.411764705882353,0.89,1.8470588235294116,10.117647058823529,17.58823529411765,4.705882352941177,4.352941176470588,0.0,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.5005882352941177,0.0,0.058823529411764705,1.4705882352941178
25,TAC,1.2352941176470589,1.9411764705882353,0.7376470588235294,1.9323529411764706,10.117647058823529,15.882352941176471,4.411764705882353,6.294117647058823,0.0,0.058823529411764705,0.17647058823529413,0.35294117647058826,0.47117647058823536,0.0,-0.47058823529411764,0.7058823529411765
26,CHM,1.4705882352941178,1.2941176470588236,0.9111764705882353,1.5970588235294116,10.764705882352942,16.058823529411764,4.882352941176471,5.529411764705882,0.058823529411764705,0.0,0.17647058823529413,0.17647058823529413,0.5035294117647059,0.0,0.0,1.2941176470588236
27,BAK,1.3529411764705883,1.6470588235294117,0.9211764705882353,1.6429411764705881,10.176470588235293,16.235294117647058,4.411764705882353,6.117647058823529,0.0,0.058823529411764705,0.11764705882352941,0.17647058823529413,0.43999999999999995,0.0,-0.17647058823529413,1.0588235294117647
